name,category,type,address,phone,website,rating,reviews,status
SUSHIZEN Lugano,japanese,Takeout restaurant,"Salita M. e A. Chiattone 10, 6900 Lugano, Switzerland",+41 91 921 08 97,http://www.sushizen.ch/,4.7,3,OPERATIONAL
Malibu poke& sushi,japanese,Restaurant,"Via Beltramina 8, 6900 Lugano, Switzerland",+41 76 365 03 83,https://www.instagram.com/pokemalibu?igsh=MXdqN2x1dzZ3YWlpaQ==&utm_source=qr,3.4,5,OPERATIONAL
Pesperuncino,japanese,Restaurant,"Quartiere Maghetti 10, Locale 6, 6900 Lugano, Switzerland",+41 78 200 86 82,https://pesperuncino.ch/,5,13,OPERATIONAL
IKOBANI,japanese,Restaurant,"Piazza Cioccaro, 6900 Lugano, Switzerland",+41 91 911 30 95,https://www.gabbani.com/ristoranti-bar/ristorante-ikobani/,4.7,15,OPERATIONAL
NIKKEI SUSHI & POKE,japanese,Takeout restaurant,"Via Guglielmo Marconi 2, 6900 Lugano, Switzerland",+41 77 902 86 90,,5,28,OPERATIONAL
Tsukimi-Tei,japanese,Japanese restaurant,"Via Carona 27, 6900 Paradiso, Switzerland",+41 91 993 11 11,http://www.tsukimi-tei.com/,4.2,32,OPERATIONAL
Khooko Poke,japanese,Restaurant,"Via Luganetto 4, 6962 Viganello, Switzerland",+41 78 219 79 49,https://www.khookopoke.com/,4.8,38,OPERATIONAL
La Kloche,japanese,Hawaiian restaurant,"Via G.B. Pioda 11, 6900 Lugano, Switzerland",+41 78 256 49 99,,4.1,46,OPERATIONAL
EIGHT SUSHI POKE BY LANCHETTA,japanese,Japanese restaurant,"Viale Castagnola 16, 6900 Lugano, Switzerland",+41 91 971 55 03,http://www.eightsushipoke.ch/,4.2,64,OPERATIONAL
Osteria dell'Indipendenza,japanese,Restaurant,"Piazza Dell Indipendenza 11, 6900 Lugano, Switzerland",+41 76 297 40 73,https://www.instagram.com/osteria_indipendenza/,4.6,83,OPERATIONAL
Bar Osteria al Ristoro,japanese,Restaurant,"Via Trevano 83, 6900 Lugano, Switzerland",+41 91 225 10 54,https://www.sushiristoro.ch/,4.1,85,OPERATIONAL
Sushi il clandestino,japanese,Takeout restaurant,"Corso Elvezia 13, 6900 Lugano, Switzerland",+41 91 921 17 08,http://sushiilclandestino.com/,4.6,98,OPERATIONAL
MintShake Café,japanese,Restaurant,"Via Giacomo Brentani 15, 6900 Lugano, Switzerland",+41 91 972 40 40,https://linktr.ee/mintshake_cafe_lugano?utm_source=linktree_profile_share&ltsid=47bbe200-5825-4eea-8aff-f407966a234f,4.8,105,OPERATIONAL
YOSHI japanese restaurant,japanese,Japanese restaurant,"Via L. Colombo, 19, 21037 Lavena Ponte Tresa VA, Italy",+39 0332 347576,https://www.yoshipontetresa.it/,4.4,129,OPERATIONAL
Ristorante Pescheria Belvga,japanese,Restaurant,"Via G.B. Pioda 4, 6900 Lugano, Switzerland",+41 78 229 68 18,,4.9,147,OPERATIONAL
Kyoto sushi,japanese,Japanese restaurant,"Via Pazzalino 15, 6962 Lugano, Switzerland",+41 91 225 05 88,https://kyotosushilugano.com/,4.8,151,OPERATIONAL
Maui Poke Lugano,japanese,Hawaiian restaurant,"Via Marco da Carona 2, 6900 Lugano, Switzerland",+41 76 470 16 67,http://www.mauipoke.ch/,4.3,160,OPERATIONAL
